Date;Lever;(Az.);Passage au Méridien;(Haut.);Coucher;(Az.)
01/01/2020;07:20;302°18';11:47:26;22°54';16:14;57°44'
02/01/2020;07:20;302°10';11:47:55;22°59';16:15;57°52'
03/01/2020;07:20;302°2';11:48:22;23°4';16:16;58°0'
04/01/2020;07:20;301°53';11:48:50;23°10';16:17;58°9'
05/01/2020;07:20;301°43';11:49:17;23°17';16:18;58°19'
06/01/2020;07:20;301°33';11:49:44;23°24';16:19;58°30'
07/01/2020;07:20;301°22';11:50:10;23°31';16:20;58°41'
08/01/2020;07:20;301°11';11:50:36;23°39';16:21;58°53'
09/01/2020;07:19;300°59';11:51:01;23°47';16:22;59°5'
10/01/2020;07:19;300°46';11:51:26;23°56';16:23;59°18'
11/01/2020;07:19;300°32';11:51:50;24°5';16:24;59°32'
12/01/2020;07:18;300°18';11:52:13;24°14';16:25;59°46'
13/01/2020;07:18;300°4';11:52:36;24°24';16:26;60°1'
14/01/2020;07:18;299°48';11:52:58;24°34';16:28;60°17'
15/01/2020;07:17;299°32';11:53:20;24°45';16:29;60°33'
16/01/2020;07:17;299°16';11:53:41;24°56';16:30;60°50'
17/01/2020;07:16;298°59';11:54:01;25°8';16:31;61°7'
18/01/2020;07:15;298°41';11:54:21;25°20';16:33;61°25'
19/01/2020;07:15;298°23';11:54:40;25°32';16:34;61°43'
20/01/2020;07:14;298°4';11:54:58;25°45';16:35;62°2'
21/01/2020;07:13;297°45';11:55:16;25°58';16:37;62°21'
22/01/2020;07:13;297°25';11:55:33;26°11';16:38;62°41'
23/01/2020;07:12;297°5';11:55:49;26°25';16:39;63°2'
24/01/2020;07:11;296°44';11:56:04;26°39';16:41;63°23'
25/01/2020;07:10;296°23';11:56:19;26°54';16:42;63°44'
26/01/2020;07:09;296°1';11:56:32;27°9';16:43;64°6'
27/01/2020;07:08;295°39';11:56:45;27°24';16:45;64°29'
28/01/2020;07:07;295°17';11:56:57;27°39';16:46;64°52'
29/01/2020;07:06;294°53';11:57:09;27°55';16:47;65°15'
30/01/2020;07:05;294°30';11:57:19;28°11';16:49;65°39'
31/01/2020;07:04;294°6';11:57:29;28°28';16:50;66°3'
01/02/2020;07:03;293°42';11:57:37;28°45';16:51;66°27'
02/02/2020;07:02;293°17';11:57:45;29°2';16:53;66°52'
03/02/2020;07:01;292°52';11:57:52;29°19';16:54;67°18'
04/02/2020;07:00;292°26';11:57:59;29°37';16:56;67°44'
05/02/2020;06:59;292°0';11:58:04;29°55';16:57;68°10'
06/02/2020;06:57;291°34';11:58:09;30°13';16:58;68°36'
07/02/2020;06:56;291°7';11:58:12;30°32';17:00;69°3'
08/02/2020;06:55;290°40';11:58:15;30°51';17:01;69°30'
09/02/2020;06:54;290°13';11:58:18;31°10';17:03;69°57'
10/02/2020;06:52;289°46';11:58:19;31°29';17:04;70°25'
11/02/2020;06:51;289°18';11:58:20;31°49';17:05;70°53'
12/02/2020;06:49;288°50';11:58:20;32°9';17:07;71°22'
13/02/2020;06:48;288°21';11:58:19;32°29';17:08;71°50'
14/02/2020;06:47;287°52';11:58:17;32°49';17:10;72°19'
15/02/2020;06:45;287°23';11:58:15;33°9';17:11;72°48'
16/02/2020;06:44;286°54';11:58:12;33°30';17:12;73°18'
17/02/2020;06:42;286°25';11:58:08;33°51';17:14;73°47'
18/02/2020;06:41;285°55';11:58:04;34°12';17:15;74°17'
19/02/2020;06:39;285°25';11:57:59;34°33';17:16;74°47'
20/02/2020;06:38;284°55';11:57:53;34°54';17:18;75°18'
21/02/2020;06:36;284°24';11:57:47;35°16';17:19;75°48'
22/02/2020;06:35;283°54';11:57:39;35°38';17:20;76°19'
23/02/2020;06:33;283°23';11:57:32;36°0';17:22;76°50'
24/02/2020;06:31;282°52';11:57:24;36°22';17:23;77°21'
25/02/2020;06:30;282°21';11:57:15;36°44';17:25;77°53'
26/02/2020;06:28;281°49';11:57:05;37°6';17:26;78°24'
27/02/2020;06:26;281°18';11:56:55;37°29';17:27;78°56'
28/02/2020;06:25;280°46';11:56:45;37°51';17:28;79°27'
29/02/2020;06:23;280°14';11:56:33;38°14';17:30;79°59'
01/03/2020;06:21;279°42';11:56:22;38°37';17:31;80°31'
02/03/2020;06:20;279°10';11:56:10;39°0';17:32;81°4'
03/03/2020;06:18;278°38';11:55:57;39°23';17:34;81°36'
04/03/2020;06:16;278°6';11:55:44;39°46';17:35;82°8'
05/03/2020;06:14;277°34';11:55:30;40°9';17:36;82°41'
06/03/2020;06:13;277°1';11:55:16;40°33';17:38;83°13'
07/03/2020;06:11;276°29';11:55:02;40°56';17:39;83°46'
08/03/2020;06:09;275°56';11:54:47;41°19';17:40;84°19'
09/03/2020;06:07;275°23';11:54:32;41°43';17:41;84°51'
10/03/2020;06:06;274°51';11:54:16;42°6';17:43;85°24'
11/03/2020;06:04;274°18';11:54:00;42°30';17:44;85°57'
12/03/2020;06:02;273°45';11:53:44;42°53';17:45;86°30'
13/03/2020;06:00;273°12';11:53:28;43°17';17:46;87°3'
14/03/2020;05:58;272°39';11:53:11;43°41';17:48;87°36'
15/03/2020;05:57;272°6';11:52:54;44°4';17:49;88°9'
16/03/2020;05:55;271°33';11:52:37;44°28';17:50;88°42'
17/03/2020;05:53;271°0';11:52:20;44°52';17:51;89°15'
18/03/2020;05:51;270°27';11:52:03;45°16';17:53;89°48'
19/03/2020;05:49;269°54';11:51:45;45°39';17:54;90°21'
20/03/2020;05:48;269°21';11:51:27;46°3';17:55;90°54'
21/03/2020;05:46;268°49';11:51:10;46°27';17:56;91°27'
22/03/2020;05:44;268°16';11:50:52;46°50';17:58;92°0'
23/03/2020;05:42;267°43';11:50:34;47°14';17:59;92°33'
24/03/2020;05:40;267°10';11:50:16;47°38';18:00;93°6'
25/03/2020;05:38;266°37';11:49:58;48°1';18:01;93°39'
26/03/2020;05:37;266°4';11:49:40;48°25';18:03;94°12'
27/03/2020;05:35;265°31';11:49:22;48°48';18:04;94°45'
28/03/2020;05:33;264°59';11:49:04;49°12';18:05;95°17'
29/03/2020;05:31;264°26';11:48:46;49°35';18:06;95°50'
30/03/2020;05:29;263°54';11:48:28;49°58';18:07;96°22'
31/03/2020;05:27;263°21';11:48:10;50°22';18:09;96°55'
01/04/2020;05:26;262°49';11:47:52;50°45';18:10;97°27'
02/04/2020;05:24;262°17';11:47:34;51°8';18:11;97°59'
03/04/2020;05:22;261°45';11:47:17;51°31';18:12;98°32'
04/04/2020;05:20;261°13';11:46:59;51°54';18:14;99°4'
05/04/2020;05:19;260°41';11:46:42;52°16';18:15;99°35'
06/04/2020;05:17;260°9';11:46:25;52°39';18:16;100°7'
07/04/2020;05:15;259°37';11:46:08;53°1';18:17;100°39'
08/04/2020;05:13;259°6';11:45:51;53°24';18:18;101°10'
09/04/2020;05:11;258°34';11:45:35;53°46';18:20;101°42'
10/04/2020;05:10;258°3';11:45:19;54°8';18:21;102°13'
11/04/2020;05:08;257°32';11:45:03;54°30';18:22;102°44'
12/04/2020;05:06;257°1';11:44:48;54°52';18:23;103°15'
13/04/2020;05:05;256°31';11:44:32;55°14';18:24;103°45'
14/04/2020;05:03;256°0';11:44:18;55°35';18:26;104°16'
15/04/2020;05:01;255°30';11:44:03;55°57';18:27;104°46'
16/04/2020;04:59;255°0';11:43:49;56°18';18:28;105°16'
17/04/2020;04:58;254°30';11:43:35;56°39';18:29;105°46'
18/04/2020;04:56;254°0';11:43:22;57°0';18:30;106°16'
19/04/2020;04:54;253°31';11:43:09;57°21';18:32;106°45'
20/04/2020;04:53;253°1';11:42:57;57°41';18:33;107°14'
21/04/2020;04:51;252°32';11:42:45;58°2';18:34;107°43'
22/04/2020;04:50;252°3';11:42:33;58°22';18:35;108°12'
23/04/2020;04:48;251°35';11:42:22;58°42';18:37;108°40'
24/04/2020;04:46;251°7';11:42:12;59°1';18:38;109°9'
25/04/2020;04:45;250°39';11:42:01;59°21';18:39;109°37'
26/04/2020;04:43;250°11';11:41:52;59°40';18:40;110°4'
27/04/2020;04:42;249°43';11:41:43;59°59';18:41;110°32'
28/04/2020;04:40;249°16';11:41:34;60°18';18:43;110°59'
29/04/2020;04:39;248°49';11:41:26;60°37';18:44;111°25'
30/04/2020;04:37;248°23';11:41:18;60°55';18:45;111°52'
01/05/2020;04:36;247°56';11:41:11;61°13';18:46;112°18'
02/05/2020;04:35;247°30';11:41:04;61°31';18:47;112°44'
03/05/2020;04:33;247°5';11:40:58;61°49';18:48;113°9'
04/05/2020;04:32;246°39';11:40:53;62°6';18:50;113°34'
05/05/2020;04:31;246°15';11:40:48;62°23';18:51;113°59'
06/05/2020;04:29;245°50';11:40:43;62°40';18:52;114°24'
07/05/2020;04:28;245°26';11:40:39;62°56';18:53;114°48'
08/05/2020;04:27;245°2';11:40:36;63°12';18:54;115°11'
09/05/2020;04:25;244°38';11:40:33;63°28';18:55;115°35'
10/05/2020;04:24;244°15';11:40:31;63°44';18:57;115°57'
11/05/2020;04:23;243°53';11:40:29;63°59';18:58;116°20'
12/05/2020;04:22;243°30';11:40:28;64°14';18:59;116°42'
13/05/2020;04:21;243°8';11:40:28;64°29';19:00;117°4'
14/05/2020;04:20;242°47';11:40:28;64°43';19:01;117°25'
15/05/2020;04:18;242°26';11:40:29;64°57';19:02;117°46'
16/05/2020;04:17;242°5';11:40:30;65°11';19:03;118°6'
17/05/2020;04:16;241°45';11:40:32;65°25';19:04;118°26'
18/05/2020;04:15;241°26';11:40:35;65°38';19:05;118°45'
19/05/2020;04:14;241°6';11:40:38;65°50';19:06;119°4'
20/05/2020;04:13;240°48';11:40:41;66°3';19:08;119°23'
21/05/2020;04:13;240°29';11:40:45;66°15';19:09;119°41'
22/05/2020;04:12;240°12';11:40:50;66°27';19:10;119°58'
23/05/2020;04:11;239°54';11:40:55;66°38';19:11;120°15'
24/05/2020;04:10;239°37';11:41:01;66°49';19:12;120°32'
25/05/2020;04:09;239°21';11:41:07;67°0';19:12;120°48'
26/05/2020;04:09;239°5';11:41:14;67°10';19:13;121°3'
27/05/2020;04:08;238°50';11:41:21;67°20';19:14;121°18'
28/05/2020;04:07;238°36';11:41:29;67°30';19:15;121°32'
29/05/2020;04:07;238°21';11:41:37;67°39';19:16;121°46'
30/05/2020;04:06;238°8';11:41:45;67°48';19:17;121°59'
31/05/2020;04:05;237°55';11:41:54;67°56';19:18;122°12'
01/06/2020;04:05;237°42';11:42:03;68°4';19:19;122°24'
02/06/2020;04:04;237°30';11:42:12;68°12';19:19;122°36'
03/06/2020;04:04;237°19';11:42:22;68°19';19:20;122°47'
04/06/2020;04:04;237°8';11:42:33;68°26';19:21;122°57'
05/06/2020;04:03;236°58';11:42:43;68°33';19:22;123°7'
06/06/2020;04:03;236°49';11:42:54;68°39';19:22;123°16'
07/06/2020;04:02;236°40';11:43:05;68°44';19:23;123°25'
08/06/2020;04:02;236°32';11:43:17;68°50';19:24;123°32'
09/06/2020;04:02;236°24';11:43:28;68°54';19:24;123°40'
10/06/2020;04:02;236°17';11:43:40;68°59';19:25;123°47'
11/06/2020;04:02;236°10';11:43:52;69°3';19:25;123°53'
12/06/2020;04:02;236°4';11:44:05;69°7';19:26;123°58'
13/06/2020;04:01;235°59';11:44:17;69°10';19:26;124°3'
14/06/2020;04:01;235°55';11:44:30;69°13';19:27;124°7'
15/06/2020;04:01;235°51';11:44:43;69°15';19:27;124°11'
16/06/2020;04:01;235°47';11:44:56;69°17';19:28;124°14'
17/06/2020;04:02;235°44';11:45:09;69°19';19:28;124°16'
18/06/2020;04:02;235°42';11:45:22;69°20';19:28;124°18'
19/06/2020;04:02;235°41';11:45:35;69°21';19:28;124°19'
20/06/2020;04:02;235°40';11:45:48;69°21';19:29;124°19'
21/06/2020;04:02;235°40';11:46:01;69°21';19:29;124°19'
22/06/2020;04:02;235°41';11:46:15;69°21';19:29;124°18'
23/06/2020;04:03;235°42';11:46:28;69°20';19:29;124°16'
24/06/2020;04:03;235°43';11:46:41;69°19';19:29;124°14'
25/06/2020;04:03;235°46';11:46:53;69°17';19:29;124°11'
26/06/2020;04:04;235°49';11:47:06;69°15';19:29;124°8'
27/06/2020;04:04;235°53';11:47:18;69°12';19:29;124°4'
28/06/2020;04:05;235°57';11:47:31;69°9';19:29;123°59'
29/06/2020;04:05;236°2';11:47:43;69°6';19:29;123°54'
30/06/2020;04:06;236°7';11:47:54;69°2';19:29;123°48'
01/07/2020;04:06;236°13';11:48:06;68°58';19:29;123°41'
02/07/2020;04:07;236°20';11:48:17;68°54';19:29;123°34'
03/07/2020;04:07;236°28';11:48:28;68°49';19:28;123°26'
04/07/2020;04:08;236°36';11:48:39;68°43';19:28;123°18'
05/07/2020;04:08;236°44';11:48:49;68°38';19:28;123°9'
06/07/2020;04:09;236°54';11:48:59;68°32';19:27;122°59'
07/07/2020;04:10;237°3';11:49:08;68°25';19:27;122°49'
08/07/2020;04:11;237°14';11:49:17;68°18';19:27;122°38'
09/07/2020;04:11;237°25';11:49:26;68°11';19:26;122°27'
10/07/2020;04:12;237°36';11:49:34;68°3';19:26;122°15'
11/07/2020;04:13;237°48';11:49:42;67°55';19:25;122°3'
12/07/2020;04:14;238°1';11:49:50;67°47';19:25;121°50'
13/07/2020;04:15;238°14';11:49:57;67°38';19:24;121°36'
14/07/2020;04:15;238°28';11:50:03;67°29';19:23;121°22'
15/07/2020;04:16;238°42';11:50:09;67°19';19:23;121°7'
16/07/2020;04:17;238°57';11:50:15;67°9';19:22;120°52'
17/07/2020;04:18;239°13';11:50:20;66°59';19:21;120°37'
18/07/2020;04:19;239°28';11:50:24;66°48';19:20;120°20'
19/07/2020;04:20;239°45';11:50:28;66°37';19:19;120°4'
20/07/2020;04:21;240°2';11:50:32;66°26';19:19;119°47'
21/07/2020;04:22;240°19';11:50:35;66°14';19:18;119°29'
22/07/2020;04:23;240°37';11:50:37;66°2';19:17;119°11'
23/07/2020;04:24;240°55';11:50:39;65°50';19:16;118°52'
24/07/2020;04:25;241°14';11:50:40;65°37';19:15;118°33'
25/07/2020;04:26;241°33';11:50:40;65°24';19:14;118°13'
26/07/2020;04:27;241°53';11:50:40;65°11';19:13;117°53'
27/07/2020;04:28;242°13';11:50:39;64°57';19:12;117°33'
28/07/2020;04:29;242°34';11:50:38;64°43';19:11;117°12'
29/07/2020;04:30;242°55';11:50:36;64°29';19:09;116°51'
30/07/2020;04:31;243°16';11:50:33;64°15';19:08;116°29'
31/07/2020;04:32;243°38';11:50:30;64°0';19:07;116°7'
01/08/2020;04:33;244°1';11:50:26;63°45';19:06;115°45'
02/08/2020;04:34;244°23';11:50:22;63°29';19:05;115°22'
03/08/2020;04:36;244°46';11:50:17;63°13';19:03;114°59'
04/08/2020;04:37;245°10';11:50:11;62°57';19:02;114°35'
05/08/2020;04:38;245°33';11:50:05;62°41';19:01;114°11'
06/08/2020;04:39;245°58';11:49:58;62°24';18:59;113°47'
07/08/2020;04:40;246°22';11:49:50;62°8';18:58;113°22'
08/08/2020;04:41;246°47';11:49:42;61°51';18:57;112°57'
09/08/2020;04:42;247°12';11:49:34;61°33';18:55;112°32'
10/08/2020;04:43;247°37';11:49:24;61°16';18:54;112°6'
11/08/2020;04:44;248°3';11:49:15;60°58';18:52;111°41'
12/08/2020;04:46;248°29';11:49:04;60°40';18:51;111°14'
13/08/2020;04:47;248°56';11:48:54;60°21';18:49;110°48'
14/08/2020;04:48;249°22';11:48:42;60°3';18:48;110°21'
15/08/2020;04:49;249°49';11:48:30;59°44';18:46;109°54'
16/08/2020;04:50;250°17';11:48:18;59°25';18:45;109°27'
17/08/2020;04:51;250°44';11:48:05;59°6';18:43;108°59'
18/08/2020;04:52;251°12';11:47:52;58°46';18:42;108°31'
19/08/2020;04:54;251°40';11:47:38;58°27';18:40;108°3'
20/08/2020;04:55;252°8';11:47:24;58°7';18:38;107°34'
21/08/2020;04:56;252°37';11:47:09;57°47';18:37;107°6'
22/08/2020;04:57;253°6';11:46:54;57°27';18:35;106°37'
23/08/2020;04:58;253°34';11:46:38;57°6';18:33;106°8'
24/08/2020;04:59;254°4';11:46:22;56°46';18:32;105°39'
25/08/2020;05:00;254°33';11:46:05;56°25';18:30;105°9'
26/08/2020;05:02;255°3';11:45:48;56°4';18:28;104°40'
27/08/2020;05:03;255°32';11:45:31;55°43';18:27;104°10'
28/08/2020;05:04;256°2';11:45:13;55°22';18:25;103°40'
29/08/2020;05:05;256°33';11:44:55;55°1';18:23;103°10'
30/08/2020;05:06;257°3';11:44:36;54°39';18:21;102°39'
31/08/2020;05:07;257°33';11:44:17;54°17';18:20;102°9'
01/09/2020;05:08;258°4';11:43:58;53°56';18:18;101°38'
02/09/2020;05:10;258°35';11:43:39;53°34';18:16;101°7'
03/09/2020;05:11;259°6';11:43:19;53°12';18:14;100°36'
04/09/2020;05:12;259°37';11:42:59;52°50';18:12;100°5'
05/09/2020;05:13;260°8';11:42:39;52°27';18:11;99°34'
06/09/2020;05:14;260°40';11:42:19;52°5';18:09;99°3'
07/09/2020;05:15;261°11';11:41:58;51°43';18:07;98°31'
08/09/2020;05:16;261°43';11:41:37;51°20';18:05;97°59'
09/09/2020;05:17;262°14';11:41:16;50°57';18:03;97°28'
10/09/2020;05:19;262°46';11:40:55;50°35';18:01;96°56'
11/09/2020;05:20;263°18';11:40:34;50°12';18:00;96°24'
12/09/2020;05:21;263°50';11:40:13;49°49';17:58;95°52'
13/09/2020;05:22;264°22';11:39:52;49°26';17:56;95°20'
14/09/2020;05:23;264°54';11:39:30;49°3';17:54;94°48'
15/09/2020;05:24;265°26';11:39:09;48°40';17:52;94°16'
16/09/2020;05:25;265°59';11:38:48;48°17';17:50;93°44'
17/09/2020;05:27;266°31';11:38:26;47°53';17:48;93°11'
18/09/2020;05:28;267°3';11:38:05;47°30';17:47;92°39'
19/09/2020;05:29;267°36';11:37:44;47°7';17:45;92°7'
20/09/2020;05:30;268°8';11:37:23;46°44';17:43;91°34'
21/09/2020;05:31;268°41';11:37:01;46°20';17:41;91°2'
22/09/2020;05:32;269°13';11:36:40;45°57';17:39;90°29'
23/09/2020;05:34;269°46';11:36:19;45°34';17:37;89°57'
24/09/2020;05:35;270°19';11:35:58;45°10';17:36;89°24'
25/09/2020;05:36;270°51';11:35:38;44°47';17:34;88°52'
26/09/2020;05:37;271°24';11:35:17;44°24';17:32;88°19'
27/09/2020;05:38;271°56';11:34:57;44°0';17:30;87°47'
28/09/2020;05:39;272°29';11:34:36;43°37';17:28;87°14'
29/09/2020;05:41;273°1';11:34:16;43°14';17:26;86°42'
30/09/2020;05:42;273°34';11:33:57;42°50';17:24;86°10'
01/10/2020;05:43;274°6';11:33:37;42°27';17:23;85°37'
02/10/2020;05:44;274°38';11:33:18;42°4';17:21;85°5'
03/10/2020;05:45;275°11';11:32:59;41°41';17:19;84°33'
04/10/2020;05:46;275°43';11:32:41;41°18';17:17;84°1'
05/10/2020;05:48;276°15';11:32:23;40°54';17:15;83°28'
06/10/2020;05:49;276°47';11:32:05;40°31';17:14;82°56'
07/10/2020;05:50;277°19';11:31:48;40°9';17:12;82°24'
08/10/2020;05:51;277°51';11:31:31;39°46';17:10;81°53'
09/10/2020;05:53;278°23';11:31:15;39°23';17:08;81°21'
10/10/2020;05:54;278°55';11:30:59;39°0';17:07;80°49'
11/10/2020;05:55;279°27';11:30:43;38°38';17:05;80°18'
12/10/2020;05:56;279°58';11:30:28;38°15';17:03;79°46'
13/10/2020;05:57;280°30';11:30:14;37°53';17:01;79°15'
14/10/2020;05:59;281°1';11:30:00;37°30';17:00;78°44'
15/10/2020;06:00;281°32';11:29:47;37°8';16:58;78°12'
16/10/2020;06:01;282°3';11:29:34;36°46';16:56;77°42'
17/10/2020;06:02;282°34';11:29:22;36°24';16:55;77°11'
18/10/2020;06:04;283°5';11:29:11;36°3';16:53;76°40'
19/10/2020;06:05;283°36';11:29:00;35°41';16:51;76°10'
20/10/2020;06:06;284°6';11:28:50;35°19';16:50;75°40'
21/10/2020;06:08;284°36';11:28:40;34°58';16:48;75°9'
22/10/2020;06:09;285°6';11:28:31;34°37';16:47;74°40'
23/10/2020;06:10;285°36';11:28:23;34°16';16:45;74°10'
24/10/2020;06:11;286°6';11:28:15;33°55';16:43;73°41'
25/10/2020;06:13;286°35';11:28:08;33°34';16:42;73°11'
26/10/2020;06:14;287°4';11:28:02;33°14';16:40;72°42'
27/10/2020;06:15;287°33';11:27:57;32°54';16:39;72°14'
28/10/2020;06:17;288°1';11:27:52;32°34';16:37;71°45'
29/10/2020;06:18;288°30';11:27:48;32°14';16:36;71°17'
30/10/2020;06:19;288°58';11:27:45;31°54';16:35;70°49'
31/10/2020;06:21;289°26';11:27:42;31°35';16:33;70°22'
01/11/2020;06:22;289°53';11:27:41;31°16';16:32;69°54'
02/11/2020;06:23;290°20';11:27:40;30°57';16:30;69°27'
03/11/2020;06:25;290°47';11:27:40;30°38';16:29;69°0'
04/11/2020;06:26;291°14';11:27:41;30°20';16:28;68°34'
05/11/2020;06:27;291°40';11:27:42;30°2';16:27;68°8'
06/11/2020;06:29;292°6';11:27:45;29°44';16:25;67°42'
07/11/2020;06:30;292°32';11:27:48;29°26';16:24;67°17'
08/11/2020;06:31;292°57';11:27:53;29°9';16:23;66°52'
09/11/2020;06:33;293°22';11:27:58;28°52';16:22;66°27'
10/11/2020;06:34;293°46';11:28:04;28°35';16:21;66°3'
11/11/2020;06:35;294°10';11:28:11;28°18';16:20;65°39'
12/11/2020;06:37;294°34';11:28:18;28°2';16:19;65°16'
13/11/2020;06:38;294°57';11:28:27;27°46';16:17;64°52'
14/11/2020;06:39;295°20';11:28:36;27°31';16:16;64°30'
15/11/2020;06:41;295°43';11:28:46;27°15';16:16;64°8'
16/11/2020;06:42;296°5';11:28:58;27°0';16:15;63°46'
17/11/2020;06:43;296°26';11:29:10;26°46';16:14;63°25'
18/11/2020;06:45;296°47';11:29:22;26°32';16:13;63°4'
19/11/2020;06:46;297°8';11:29:36;26°18';16:12;62°43'
20/11/2020;06:47;297°28';11:29:50;26°4';16:11;62°23'
21/11/2020;06:48;297°47';11:30:05;25°51';16:10;62°4'
22/11/2020;06:50;298°6';11:30:21;25°38';16:10;61°45'
23/11/2020;06:51;298°25';11:30:38;25°26';16:09;61°27'
24/11/2020;06:52;298°43';11:30:56;25°14';16:08;61°9'
25/11/2020;06:53;299°0';11:31:14;25°2';16:08;60°52'
26/11/2020;06:55;299°17';11:31:33;24°51';16:07;60°35'
27/11/2020;06:56;299°34';11:31:52;24°40';16:07;60°19'
28/11/2020;06:57;299°49';11:32:13;24°30';16:06;60°4'
29/11/2020;06:58;300°5';11:32:34;24°19';16:06;59°49'
30/11/2020;06:59;300°19';11:32:55;24°10';16:05;59°35'
01/12/2020;07:00;300°33';11:33:18;24°1';16:05;59°21'
02/12/2020;07:01;300°46';11:33:41;23°52';16:05;59°8'
03/12/2020;07:02;300°59';11:34:04;23°43';16:04;58°55'
04/12/2020;07:04;301°11';11:34:29;23°35';16:04;58°43'
05/12/2020;07:05;301°23';11:34:53;23°28';16:04;58°32'
06/12/2020;07:06;301°34';11:35:19;23°21';16:04;58°22'
07/12/2020;07:07;301°44';11:35:45;23°14';16:04;58°12'
08/12/2020;07:08;301°53';11:36:11;23°8';16:04;58°2'
09/12/2020;07:08;302°2';11:36:38;23°2';16:04;57°54'
10/12/2020;07:09;302°10';11:37:05;22°57';16:04;57°46'
11/12/2020;07:10;302°18';11:37:33;22°52';16:04;57°39'
12/12/2020;07:11;302°25';11:38:01;22°48';16:04;57°32'
13/12/2020;07:12;302°31';11:38:29;22°44';16:04;57°26'
14/12/2020;07:13;302°36';11:38:58;22°40';16:04;57°21'
15/12/2020;07:13;302°41';11:39:27;22°37';16:04;57°17'
16/12/2020;07:14;302°45';11:39:56;22°35';16:05;57°13'
17/12/2020;07:15;302°48';11:40:26;22°32';16:05;57°10'
18/12/2020;07:15;302°51';11:40:55;22°31';16:05;57°7'
19/12/2020;07:16;302°53';11:41:25;22°30';16:06;57°6'
20/12/2020;07:17;302°54';11:41:55;22°29';16:06;57°5'
21/12/2020;07:17;302°54';11:42:25;22°29';16:07;57°5'
22/12/2020;07:18;302°54';11:42:55;22°29';16:07;57°5'
23/12/2020;07:18;302°53';11:43:25;22°30';16:08;57°7'
24/12/2020;07:18;302°51';11:43:54;22°31';16:09;57°9'
25/12/2020;07:19;302°49';11:44:24;22°33';16:09;57°11'
26/12/2020;07:19;302°46';11:44:54;22°35';16:10;57°15'
27/12/2020;07:19;302°42';11:45:23;22°38';16:11;57°19'
28/12/2020;07:20;302°37';11:45:52;22°41';16:11;57°24'
29/12/2020;07:20;302°32';11:46:21;22°44';16:12;57°29'
30/12/2020;07:20;302°26';11:46:50;22°48';16:13;57°35'
31/12/2020;07:20;302°19';;;16:14;57°42'
